rtu,loop,data_number,min_loudian,max_loudian,min0,max0,scale0,min1,max1,scale1,min2,max2,scale2,min3,max3,scale3,min4,max4,scale4
1600003,rtu1,1393,10,6552,10,1051,0.5053840631730079,3241,4601,0.19382627422828427,4607,5199,0.11844938980617373,5203,5861,0.09619526202440776,5869,6552,0.08614501076812635
1600005,rtu4,4771,21,576,21,103,0.10186543701530078,104,150,0.3194298889121777,151,194,0.3361978620834207,195,255,0.2045692726891637,256,576,0.03793753929993712
1600006,rtu1,4760,40,2604,40,521,0.08109243697478992,1586,1908,0.04936974789915966,1913,2149,0.3846638655462185,2150,2259,0.32941176470588235,2260,2604,0.15546218487394958
1600006,rtu2,4744,101,1151,101,315,0.16968802698145025,316,383,0.4078836424957841,384,451,0.2900505902192243,452,736,0.0862141652613828,839,1151,0.04616357504215852
1600006,rtu3,4636,4321,6538,4321,4837,0.16113028472821397,4838,5137,0.315358067299396,5138,5492,0.19736842105263158,5493,5870,0.15314926660914582,5874,6538,0.1729939603106126
