uptime_1600013,temperature,humidity,aqi,winp,wind,weather,rtu3
2019-12-01 01:57:00,5℃,99%,45,3级,西北风,雨,131
2019-12-01 02:53:00,5℃,98%,52,2级,西北风,雨,137
2019-12-01 03:52:00,5℃,98%,58,2级,西北风,雨,128
2019-11-30 01:10:00,7℃,80%,44,2级,东北风,多云,111
2019-11-30 01:54:00,7℃,81%,46,2级,东北风,多云,111
2019-11-30 02:59:00,7℃,85%,47,2级,东北风,多云,112
2019-11-30 04:01:00,6℃,86%,51,2级,北风,多云,112
2019-11-30 04:56:00,6℃,87%,51,2级,北风,多云,113
2019-11-30 20:05:00,6℃,99%,60,2级,西北风,阴,150
2019-11-30 20:50:00,5℃,99%,58,2级,西北风,雨,151
2019-11-30 21:35:00,5℃,99%,59,2级,西北风,阴,157
2019-11-30 22:59:00,5℃,99%,59,3级,西北风,雨,175
2019-11-29 21:04:00,8℃,68%,47,2级,东风,晴,108
2019-11-29 22:06:00,8℃,69%,42,2级,东风,晴,109
2019-11-29 22:59:00,8℃,74%,42,2级,东北风,多云,108
2019-11-28 02:02:00,4℃,90%,98,1级,北风,阴,79
2019-11-28 03:08:00,4℃,83%,78,2级,北风,阴,118
2019-11-28 04:04:00,3℃,74%,53,3级,东北风,阴,117
2019-11-27 02:03:00,5℃,99%,29,3级,东北风,雨,76
2019-11-27 03:02:00,5℃,99%,30,3级,东北风,雨,55
2019-11-27 04:00:00,4℃,99%,29,2级,东北风,雨,43
2019-11-27 04:56:00,3℃,97%,25,4级,东北风,雨,38
2019-11-27 21:04:00,3℃,93%,78,2级,西北风,阴,108
2019-11-27 22:10:00,4℃,90%,82,2级,西北风,阴,98
2019-11-27 23:03:00,4℃,91%,84,2级,西风,阴,99
2019-11-26 20:02:00,6℃,95%,32,2级,北风,雨,87
2019-11-26 21:08:00,6℃,95%,30,2级,东北风,雨,370
2019-11-26 22:07:00,5℃,97%,29,2级,东北风,雨,345
2019-11-26 23:04:00,5℃,98%,28,2级,东北风,雨,274
2019-10-13 01:05:00,17℃,98%,65,2级,北风,阴,201
2019-10-13 02:05:00,17℃,98%,79,2级,北风,阴,194
2019-10-13 03:05:00,17℃,97%,92,2级,北风,阴,181
2019-10-13 04:05:00,17℃,97%,100,1级,东北风,阴,179
2019-10-12 01:15:00,18℃,90%,93,2级,北风,多云,116
2019-10-12 02:15:00,18℃,93%,97,1级,西北风,多云,116
2019-10-12 03:15:00,18℃,94%,100,2级,西北风,多云,116
2019-10-12 04:15:00,17℃,96%,98,2级,西北风,多云,117
2019-10-12 20:05:00,18℃,99%,51,1级,西北风,阴,267
2019-10-12 21:10:00,18℃,99%,48,1级,西北风,阴,248
2019-10-12 22:05:00,18℃,95%,50,2级,北风,阴,229
2019-10-12 23:05:00,17℃,96%,52,2级,北风,阴,232
2019-10-11 01:15:00,18℃,88%,48,2级,西北风,多云,118
2019-10-11 02:10:00,18℃,89%,48,2级,西北风,多云,118
2019-10-11 03:15:00,18℃,91%,38,2级,西北风,多云,118
2019-10-11 04:15:00,18℃,91%,38,1级,西北风,多云,118
2019-10-11 20:15:00,19℃,83%,63,1级,西北风,晴,118
2019-10-11 21:15:00,18℃,87%,65,2级,西北风,晴,117
2019-10-11 22:15:00,19℃,87%,84,2级,北风,晴,117
2019-10-11 23:15:00,18℃,88%,92,2级,西北风,多云,117
2019-10-10 01:10:00,19℃,86%,82,2级,东南风,多云,120
2019-10-10 02:15:00,19℃,88%,77,1级,东南风,多云,119
2019-10-10 03:15:00,19℃,88%,79,2级,东南风,多云,120
2019-10-10 04:15:00,19℃,91%,79,1级,西南风,多云,120
2019-10-10 20:15:00,19℃,86%,73,1级,西风,晴,119
2019-10-10 21:15:00,19℃,87%,67,2级,西风,晴,119
2019-10-10 22:15:00,19℃,84%,65,2级,西北风,晴,118
2019-10-10 23:15:00,18℃,87%,58,2级,西北风,多云,118
2019-10-09 01:15:00,14℃,99%,49,1级,南风,多云,120
2019-10-09 02:15:00,14℃,99%,52,0级,无持续风向,多云,120
2019-10-09 03:15:00,14℃,99%,52,0级,无持续风向,多云,119
2019-10-09 04:15:00,13℃,99%,54,1级,东南风,雾,119
2019-10-09 20:15:00,19℃,84%,64,2级,东风,晴,121
2019-10-09 21:15:00,19℃,80%,71,2级,东风,晴,121
2019-10-09 22:15:00,20℃,82%,75,2级,东南风,晴,120
2019-10-09 23:15:00,19℃,84%,75,2级,东南风,多云,120
2019-10-08 20:15:00,15℃,94%,56,2级,西南风,阴,108
2019-10-08 21:15:00,14℃,95%,59,1级,西南风,阴,107
2019-10-08 22:15:00,14℃,97%,57,0级,无持续风向,阴,120
2019-10-08 23:15:00,14℃,97%,52,0级,无持续风向,多云,120
2019-09-25 01:05:00,18℃,85%,97,0级,无持续风向,多云,1632
2019-09-25 02:05:00,18℃,86%,97,1级,北风,多云,1631
2019-09-25 03:05:00,18℃,90%,101,1级,西北风,多云,1629
