,uptime_1600025,temperature,humidity,aqi,winp,wind,weather,rtu2
0,2019-12-01 01:57:00,5,99,45,3,7,0,1.0
1,2019-12-01 02:53:00,5,98,52,2,7,0,1.0
2,2019-12-01 03:52:00,5,98,58,2,7,0,1.0
3,2019-11-30 01:10:00,7,80,44,2,5,3,1.0
4,2019-11-30 01:54:00,7,81,46,2,5,3,1.0
5,2019-11-30 02:59:00,7,85,47,2,5,3,1.0
6,2019-11-30 04:01:00,6,86,51,2,3,3,1.0
7,2019-11-30 04:56:00,6,87,51,2,3,3,1.0
8,2019-11-30 20:05:00,6,99,60,2,7,1,1.0
9,2019-11-30 20:50:00,5,99,58,2,7,0,1.0
10,2019-11-30 21:35:00,5,99,59,2,7,1,1.0
11,2019-11-30 22:59:00,5,99,59,3,7,0,1.0
12,2019-11-29 21:04:00,8,68,47,2,0,4,1.0
13,2019-11-29 22:06:00,8,69,42,2,0,4,1.0
14,2019-11-29 22:59:00,8,74,42,2,5,3,1.0
15,2019-11-28 02:02:00,4,90,98,1,3,1,1.0
17,2019-11-28 04:04:00,3,74,53,3,5,1,1.0
18,2019-11-27 02:03:00,5,99,29,3,5,0,0.0
19,2019-11-27 03:02:00,5,99,30,3,5,0,0.0
20,2019-11-27 04:00:00,4,99,29,2,5,0,0.0
27,2019-11-26 22:07:00,5,97,29,2,5,0,0.0
28,2019-11-26 23:04:00,5,98,28,2,5,0,0.0
36,2019-09-12 04:00:00,24,94,51,2,0,4,1.0
41,2019-09-11 01:15:00,23,97,43,2,5,3,0.0
43,2019-09-11 03:15:00,23,99,43,1,0,3,1.0
44,2019-09-11 04:15:00,23,99,38,2,0,3,1.0
45,2019-09-11 20:15:00,27,84,58,3,5,4,1.0
46,2019-09-11 21:10:00,26,86,57,2,0,4,1.0
47,2019-09-11 22:15:00,25,88,55,2,5,4,1.0
48,2019-09-11 23:15:00,25,88,53,2,0,3,1.0
49,2019-09-10 01:15:00,21,99,63,1,3,4,1.0
50,2019-09-10 02:15:00,21,99,59,2,3,4,1.0
51,2019-09-10 03:15:00,21,99,59,1,3,4,1.0
52,2019-09-10 04:10:00,21,99,60,2,5,4,1.0
53,2019-09-10 20:10:00,26,80,54,2,5,4,0.0
57,2019-09-09 01:10:00,21,92,74,1,5,4,1.0
58,2019-09-09 02:10:00,21,93,74,2,5,4,1.0
59,2019-09-09 03:15:00,20,95,78,1,3,4,1.0
60,2019-09-09 04:15:00,20,98,77,2,5,4,1.0
61,2019-09-09 20:15:00,25,79,55,2,5,4,1.0
62,2019-09-09 21:15:00,24,84,68,2,5,4,1.0
63,2019-09-09 22:15:00,23,88,80,1,3,4,1.0
64,2019-09-09 23:15:00,22,96,73,2,5,4,1.0
65,2019-09-08 01:15:00,20,99,119,1,5,4,1.0
66,2019-09-08 02:15:00,19,99,124,0,8,4,1.0
67,2019-09-08 03:15:00,19,99,122,1,3,4,1.0
68,2019-09-08 04:15:00,19,99,121,1,7,4,1.0
69,2019-09-08 20:10:00,24,77,69,1,3,4,1.0
70,2019-09-08 21:10:00,23,83,80,2,5,4,1.0
71,2019-09-08 22:10:00,23,80,83,2,5,4,1.0
72,2019-09-08 23:10:00,21,91,76,1,4,4,1.0
73,2019-09-07 01:15:00,20,97,59,2,1,3,1.0
74,2019-09-07 02:15:00,20,98,60,1,1,3,1.0
75,2019-09-07 03:15:00,19,99,64,2,1,3,1.0
76,2019-09-07 04:15:00,19,99,62,2,1,3,1.0
77,2019-09-07 20:15:00,22,92,78,0,8,4,1.0
78,2019-09-07 21:15:00,21,94,83,1,5,4,1.0
79,2019-09-07 22:15:00,20,98,89,2,2,4,1.0
80,2019-09-07 23:10:00,20,97,105,0,8,4,1.0
81,2019-09-06 01:15:00,21,99,35,1,3,3,1.0
82,2019-09-06 02:15:00,20,99,37,1,3,3,1.0
83,2019-09-06 03:15:00,21,99,43,2,3,3,1.0
84,2019-09-06 04:15:00,22,99,43,1,3,3,1.0
85,2019-09-06 20:15:00,23,78,41,2,7,3,1.0
86,2019-09-06 21:15:00,23,82,53,1,7,3,1.0
