,uptime_1600012,temperature,humidity,aqi,winp,wind,weather,rtu3
2,2020-06-09 20:07:00,28,73,47,2,0,1,2.0
3,2020-06-09 21:52:00,27,77,46,2,0,1,2.0
6,2020-06-08 22:00:00,26,79,50,2,0,4,2.0
9,2020-06-07 22:06:00,25,67,66,3,0,4,2.0
10,2020-06-07 23:57:00,24,70,55,2,0,3,2.0
13,2020-06-06 22:03:00,22,98,59,1,5,1,2.0
20,2020-06-04 22:01:00,27,82,47,1,4,1,2.0
22,2020-06-03 02:03:00,24,88,27,2,6,1,2.0
23,2020-06-03 04:04:00,24,82,27,2,6,1,2.0
25,2020-06-03 22:03:00,26,85,59,2,2,1,2.0
28,2020-06-02 22:11:00,27,83,61,1,6,1,2.0
31,2020-06-01 20:01:00,27,65,52,2,4,3,2.0
40,2020-05-30 20:00:00,23,83,56,2,3,4,2.0
48,2020-05-28 20:00:00,26,69,79,2,2,1,2.0
52,2020-05-27 20:06:00,26,65,99,2,2,3,2.0
57,2020-05-26 20:02:00,24,72,64,2,2,1,2.0
69,2020-05-23 20:08:00,26,61,61,2,4,4,2.0
73,2020-05-22 20:03:00,25,75,57,2,2,3,2.0
77,2020-05-21 20:02:00,24,69,108,2,2,1,2.0
81,2020-05-20 21:12:00,21,74,71,1,5,1,2.0
85,2020-05-19 21:09:00,21,63,66,2,4,3,2.0
90,2020-05-18 21:03:00,15,82,59,1,1,4,2.0
93,2020-05-17 21:10:00,24,84,56,2,2,1,2.0
101,2020-05-15 03:05:00,18,99,48,2,1,3,0.0
153,2020-05-04 20:00:00,25,79,110,3,5,1,2.0
154,2020-05-04 20:57:00,23,83,75,4,0,1,2.0
162,2020-05-03 20:54:00,24,73,97,1,2,4,2.0
170,2020-05-02 20:04:00,26,81,83,0,8,4,2.0
213,2020-04-26 20:04:00,21,66,72,3,5,4,2.0
222,2020-04-25 20:03:00,19,55,73,1,7,1,2.0
238,2020-04-23 20:05:00,12,78,54,2,2,1,2.0
252,2020-04-21 04:10:00,13,99,89,1,3,1,0.0
265,2020-04-19 03:08:00,12,99,68,2,3,0,0.0
306,2020-04-14 20:04:00,15,73,66,1,0,3,2.0
314,2020-04-13 20:06:00,13,59,73,0,8,1,2.0
344,2020-04-09 20:03:00,17,58,63,1,5,4,2.0
367,2020-04-06 20:12:00,16,42,56,2,0,4,2.0
376,2020-04-05 20:04:00,14,52,54,2,0,4,2.0
384,2020-04-04 20:29:00,12,69,68,1,5,4,2.0
398,2020-04-02 21:04:00,14,64,66,2,5,3,2.0
399,2020-04-02 21:54:00,13,70,64,3,5,3,2.0
417,2020-03-30 01:09:00,5,96,26,2,5,1,2.0
418,2020-03-30 02:09:00,5,99,30,2,5,1,2.0
419,2020-03-30 02:59:00,5,99,33,2,5,1,2.0
420,2020-03-30 03:59:00,5,99,32,1,3,1,2.0
421,2020-03-30 04:53:00,5,98,30,2,3,1,2.0
422,2020-03-30 20:56:00,10,85,50,1,2,1,2.0
423,2020-03-30 22:09:00,9,91,48,2,1,1,2.0
428,2020-03-29 03:56:00,5,97,42,2,2,0,2.0
429,2020-03-29 04:59:00,5,98,35,2,4,0,2.0
433,2020-03-29 23:04:00,5,95,20,2,3,1,2.0
437,2020-03-28 20:04:00,8,62,47,2,4,1,3.0
438,2020-03-28 20:56:00,7,68,42,2,4,1,3.0
439,2020-03-28 22:00:00,8,70,53,1,4,1,3.0
440,2020-03-28 23:04:00,7,83,44,1,6,1,3.0
441,2020-03-27 02:04:00,9,95,16,3,3,0,3.0
442,2020-03-27 02:54:00,8,97,18,4,3,1,3.0
443,2020-03-27 04:00:00,8,98,17,2,3,1,3.0
444,2020-03-27 04:56:00,7,98,19,3,3,1,3.0
445,2020-03-27 20:04:00,7,91,46,2,3,0,3.0
446,2020-03-27 20:58:00,7,91,48,2,3,0,3.0
617,2020-03-05 02:13:00,5,67,50,3,0,3,2.0
618,2020-03-05 03:06:00,4,71,45,2,0,3,2.0
619,2020-03-05 04:02:00,4,73,43,2,0,3,2.0
620,2020-03-05 20:08:00,9,53,55,2,0,4,2.0
621,2020-03-05 20:54:00,8,56,58,2,0,4,2.0
622,2020-03-05 21:53:00,8,59,59,2,0,4,2.0
623,2020-03-05 23:00:00,7,62,60,2,4,3,2.0
629,2020-03-04 21:12:00,8,70,88,3,5,3,2.0
630,2020-03-04 21:58:00,7,74,93,2,5,3,2.0
631,2020-03-04 23:02:00,6,77,90,2,5,3,2.0
632,2020-03-03 02:13:00,6,84,42,2,3,3,2.0
633,2020-03-03 03:08:00,6,84,45,2,5,3,2.0
635,2020-03-03 20:07:00,8,74,54,2,7,1,2.0
