uptime_1600022,temperature,humidity,aqi,winp,wind,weather,rtu2
2019-12-01 01:57:00,5℃,99%,45,3级,西北风,雨,1486
2019-12-01 02:53:00,5℃,98%,52,2级,西北风,雨,1486
2019-11-30 01:10:00,7℃,80%,44,2级,东北风,多云,1479
2019-11-30 01:54:00,7℃,81%,46,2级,东北风,多云,1475
2019-11-30 02:59:00,7℃,85%,47,2级,东北风,多云,1483
2019-11-30 04:01:00,6℃,86%,51,2级,北风,多云,1481
2019-11-30 04:56:00,6℃,87%,51,2级,北风,多云,1483
2019-11-30 20:05:00,6℃,99%,60,2级,西北风,阴,1491
2019-11-30 20:50:00,5℃,99%,58,2级,西北风,雨,1475
2019-11-30 21:35:00,5℃,99%,59,2级,西北风,阴,1481
2019-11-30 22:59:00,5℃,99%,59,3级,西北风,雨,1483
2019-11-29 21:04:00,8℃,68%,47,2级,东风,晴,1478
2019-11-29 22:06:00,8℃,69%,42,2级,东风,晴,1463
2019-11-29 22:59:00,8℃,74%,42,2级,东北风,多云,1472
2019-11-28 02:02:00,4℃,90%,98,1级,北风,阴,1475
2019-11-28 03:08:00,4℃,83%,78,2级,北风,阴,1482
2019-11-28 04:04:00,3℃,74%,53,3级,东北风,阴,1478
2019-11-27 02:03:00,5℃,99%,29,3级,东北风,雨,1471
2019-11-27 03:02:00,5℃,99%,30,3级,东北风,雨,1475
2019-11-27 04:00:00,4℃,99%,29,2级,东北风,雨,1475
2019-11-27 04:56:00,3℃,97%,25,4级,东北风,雨,1475
2019-11-27 21:04:00,3℃,93%,78,2级,西北风,阴,1453
2019-11-27 22:10:00,4℃,90%,82,2级,西北风,阴,1459
2019-11-27 23:03:00,4℃,91%,84,2级,西风,阴,1461
2019-11-26 20:02:00,6℃,95%,32,2级,北风,雨,1475
2019-11-26 21:08:00,6℃,95%,30,2级,东北风,雨,1463
2019-11-26 22:07:00,5℃,97%,29,2级,东北风,雨,1472
2019-11-26 23:04:00,5℃,98%,28,2级,东北风,雨,1449
2019-09-04 01:15:00,21℃,97%,15,1级,东北风,多云,1471
2019-09-04 02:15:00,21℃,97%,15,2级,东北风,多云,1475
2019-09-04 03:15:00,20℃,96%,15,2级,北风,多云,1471
2019-09-04 04:15:00,20℃,93%,16,2级,东北风,多云,1472
2019-09-03 01:00:00,22℃,92%,40,1级,北风,阴,1469
2019-09-03 02:10:00,21℃,96%,46,2级,西北风,阴,1474
2019-09-03 03:00:00,21℃,96%,45,2级,北风,阴,1476
2019-09-03 04:00:00,21℃,95%,36,1级,北风,阴,1474
2019-09-03 20:15:00,22℃,90%,20,2级,东北风,多云,1539
2019-09-03 21:15:00,21℃,95%,20,2级,东风,多云,1493
2019-09-03 22:15:00,21℃,96%,19,2级,东北风,多云,1481
2019-09-03 23:15:00,21℃,96%,19,2级,东风,多云,1476
2019-09-02 01:15:00,20℃,98%,39,2级,东北风,多云,1479
2019-09-02 02:15:00,20℃,98%,37,2级,东北风,阴,1481
2019-09-02 03:15:00,20℃,98%,35,2级,东北风,阴,1480
2019-09-02 04:10:00,20℃,99%,35,2级,东北风,阴,1482
2019-09-02 20:10:00,23℃,77%,43,1级,东南风,阴,1516
2019-09-02 21:10:00,22℃,84%,51,0级,无持续风向,阴,1488
2019-09-02 22:10:00,22℃,91%,51,1级,西风,阴,1470
2019-09-02 23:10:00,22℃,92%,51,1级,西风,阴,1467
2019-09-01 01:10:00,23℃,93%,55,2级,东风,阴,1488
2019-09-01 02:10:00,23℃,93%,57,1级,东北风,阴,1480
2019-09-01 03:10:00,23℃,93%,54,2级,东北风,阴,1470
2019-09-01 04:10:00,23℃,93%,54,2级,东风,阴,1483
2019-09-01 20:15:00,20℃,89%,30,2级,东北风,多云,1544
2019-09-01 21:15:00,20℃,93%,31,2级,东风,多云,1515
2019-09-01 22:15:00,20℃,93%,33,1级,东风,多云,1490
2019-09-01 23:15:00,20℃,96%,34,2级,东北风,多云,1487
2019-08-31 01:15:00,20℃,88%,45,1级,北风,多云,1506
2019-08-31 02:15:00,20℃,87%,48,1级,北风,多云,1508
2019-08-31 03:15:00,20℃,90%,48,2级,北风,多云,1504
2019-08-31 04:10:00,20℃,90%,51,1级,北风,多云,1507
2019-08-31 20:10:00,22℃,86%,58,2级,东北风,阴,1508
2019-08-31 21:10:00,23℃,87%,62,2级,东北风,阴,1489
2019-08-31 22:10:00,23℃,88%,60,2级,东北风,阴,1491
2019-08-31 23:10:00,23℃,91%,63,2级,东北风,阴,1480
2019-08-30 01:15:00,22℃,94%,38,2级,西北风,多云,1490
2019-08-30 02:15:00,22℃,88%,51,2级,北风,多云,1497
2019-08-30 03:15:00,21℃,88%,52,2级,西北风,多云,1496
2019-08-30 04:15:00,20℃,94%,55,2级,西北风,多云,1482
2019-08-30 20:15:00,23℃,78%,46,2级,北风,阴,1550
2019-08-30 21:15:00,21℃,90%,48,1级,北风,阴,1513
2019-08-30 22:15:00,20℃,89%,47,1级,北风,阴,1502
2019-08-30 23:15:00,20℃,90%,45,1级,北风,多云,1507
2019-08-29 01:15:00,22℃,98%,41,2级,南风,多云,1500
2019-08-29 02:15:00,22℃,98%,34,1级,南风,多云,1500
2019-08-29 03:10:00,22℃,99%,35,1级,西风,多云,1497
2019-08-29 20:15:00,27℃,81%,49,2级,西南风,多云,1543
2019-08-29 21:15:00,26℃,77%,34,1级,西风,多云,1513
2019-08-29 22:15:00,25℃,82%,31,2级,北风,多云,1495
2019-08-29 23:15:00,23℃,89%,32,1级,北风,多云,1489
2019-08-28 01:15:00,25℃,97%,16,2级,东北风,阴,1499
2019-08-28 02:15:00,25℃,97%,12,1级,东北风,阴,1503
2019-08-28 03:15:00,25℃,97%,12,2级,北风,阴,1493
2019-08-28 04:15:00,25℃,96%,12,2级,北风,阴,1498
2019-08-28 20:15:00,23℃,95%,40,1级,南风,阴,1539
2019-08-28 21:15:00,23℃,96%,50,2级,西南风,阴,1510
2019-08-28 22:15:00,23℃,94%,51,1级,南风,阴,1509
2019-08-28 23:15:00,23℃,95%,51,0级,无持续风向,多云,1500
2019-08-27 01:15:00,26℃,99%,52,2级,西北风,阴,1479
2019-08-27 02:15:00,26℃,99%,52,2级,北风,阴,1485
2019-08-27 03:15:00,26℃,99%,52,1级,北风,阴,1472
2019-08-27 04:15:00,26℃,99%,54,1级,西北风,阴,1471
2019-08-27 20:15:00,26℃,93%,34,3级,北风,多云,1518
2019-08-27 21:15:00,25℃,93%,28,2级,北风,多云,1492
2019-08-27 22:15:00,25℃,93%,22,2级,东北风,多云,1489
2019-08-27 23:15:00,25℃,96%,14,2级,北风,阴,1488
2019-08-26 01:15:00,26℃,94%,35,2级,东北风,多云,1476
2019-08-26 02:10:00,26℃,95%,29,2级,东北风,多云,1479
2019-08-26 03:10:00,25℃,96%,25,2级,东北风,多云,1484
2019-08-26 04:15:00,25℃,97%,26,2级,北风,多云,1486
2019-08-26 20:15:00,27℃,91%,46,3级,东北风,多云,1516
2019-08-26 21:15:00,27℃,94%,59,2级,东北风,多云,1490
2019-08-26 22:15:00,27℃,98%,58,1级,北风,多云,1479
2019-08-26 23:15:00,27℃,99%,61,1级,东北风,阴,1481
2019-08-25 01:10:00,24℃,68%,57,2级,东北风,多云,1480
2019-08-25 02:10:00,24℃,74%,54,2级,东北风,多云,1488
2019-08-25 03:10:00,24℃,78%,59,2级,东北风,多云,1486
2019-08-25 04:15:00,24℃,82%,65,2级,东北风,多云,1490
2019-08-25 20:10:00,28℃,85%,61,3级,东北风,多云,1534
2019-08-25 21:10:00,28℃,86%,57,3级,东北风,多云,1489
2019-08-25 22:10:00,27℃,86%,51,3级,东北风,多云,1489
2019-08-25 23:15:00,27℃,88%,54,3级,东北风,多云,1475
2019-08-24 01:05:00,24℃,77%,61,2级,东风,多云,1483
2019-08-24 02:15:00,23℃,83%,65,1级,东北风,多云,1484
2019-08-24 03:15:00,22℃,85%,64,2级,北风,多云,1483
2019-08-24 04:15:00,23℃,85%,65,1级,东北风,多云,1480
2019-08-24 20:10:00,27℃,57%,74,3级,东北风,多云,1525
2019-08-24 21:10:00,27℃,53%,57,3级,东北风,多云,1495
2019-08-24 22:10:00,26℃,54%,44,3级,东北风,多云,1479
2019-08-24 23:10:00,25℃,61%,52,2级,东北风,多云,1477
2019-08-23 01:15:00,26℃,80%,52,1级,东北风,多云,1470
2019-08-23 02:15:00,25℃,82%,57,1级,北风,多云,1474
2019-08-23 03:15:00,25℃,85%,56,1级,北风,多云,1481
2019-08-23 04:10:00,25℃,87%,55,1级,北风,多云,1479
2019-08-23 20:15:00,27℃,62%,62,2级,东北风,晴,1528
2019-08-23 21:15:00,27℃,66%,63,2级,东北风,晴,1488
2019-08-23 22:05:00,26℃,71%,67,2级,东北风,晴,1480
2019-08-23 23:15:00,26℃,69%,61,2级,东风,多云,1479
2019-08-22 01:15:00,25℃,86%,54,2级,东北风,晴,1485
2019-08-22 02:15:00,25℃,88%,50,2级,东北风,晴,1485
2019-08-22 03:15:00,25℃,88%,49,1级,东北风,晴,1483
2019-08-22 04:10:00,25℃,86%,53,2级,北风,晴,1478
2019-08-22 20:15:00,27℃,78%,69,1级,北风,多云,1530
2019-08-22 21:15:00,27℃,80%,73,2级,北风,多云,1497
2019-08-22 22:15:00,26℃,85%,72,2级,东北风,多云,1478
2019-08-22 23:15:00,26℃,83%,63,2级,东北风,多云,1476
2019-08-21 01:15:00,25℃,89%,70,1级,东北风,晴,1514
2019-08-21 02:15:00,24℃,90%,71,2级,东北风,晴,1524
2019-08-21 03:15:00,24℃,92%,68,1级,东风,晴,1525
2019-08-21 04:15:00,24℃,95%,69,2级,东北风,晴,1527
2019-08-21 20:15:00,27℃,72%,68,2级,东北风,多云,1557
2019-08-21 21:15:00,27℃,79%,67,2级,东北风,多云,1543
2019-08-21 22:15:00,26℃,81%,66,2级,东北风,多云,1528
2019-08-21 23:15:00,26℃,83%,63,2级,东北风,晴,1531
2019-08-20 01:15:00,24℃,81%,51,2级,东风,晴,1519
2019-08-20 02:15:00,24℃,84%,48,2级,东北风,晴,1515
2019-08-20 03:15:00,23℃,86%,44,2级,东北风,晴,1515
2019-08-20 04:15:00,23℃,87%,41,2级,东风,晴,1520
2019-08-20 20:15:00,27℃,77%,69,1级,北风,晴,1508
2019-08-20 21:15:00,26℃,88%,70,1级,东北风,晴,1503
2019-08-20 22:15:00,26℃,78%,71,2级,北风,晴,1510
2019-08-20 23:15:00,25℃,82%,74,1级,东北风,晴,1512
2019-08-19 01:15:00,24℃,78%,57,2级,东北风,多云,1473
2019-08-19 02:10:00,24℃,77%,56,3级,东北风,多云,1473
2019-08-19 03:15:00,23℃,81%,54,2级,东北风,多云,1472
2019-08-19 04:15:00,22℃,86%,53,2级,东北风,多云,1469
2019-08-19 20:15:00,27℃,68%,89,2级,东北风,晴,1595
2019-08-19 21:15:00,25℃,74%,59,2级,东北风,晴,1579
2019-08-19 22:15:00,25℃,74%,66,2级,东北风,晴,1567
2019-08-19 23:15:00,25℃,76%,59,2级,东北风,晴,1541
2019-08-18 01:15:00,25℃,83%,53,2级,东北风,阴,1482
2019-08-18 02:15:00,25℃,83%,56,2级,东北风,多云,1485
2019-08-18 03:15:00,25℃,83%,52,2级,东北风,多云,1484
2019-08-18 04:15:00,25℃,83%,50,2级,东北风,多云,1483
2019-08-18 20:10:00,27℃,66%,95,2级,东北风,晴,1530
2019-08-18 21:10:00,26℃,71%,60,2级,东北风,晴,1506
2019-08-18 22:10:00,26℃,65%,56,2级,东风,晴,1483
2019-08-18 23:10:00,26℃,66%,53,2级,东风,多云,1488
2019-08-17 01:15:00,26℃,86%,60,1级,东南风,晴,1488
2019-08-17 02:45:00,25℃,92%,60,1级,南风,晴,1499
2019-08-17 03:45:00,25℃,92%,60,1级,西南风,晴,1494
2019-08-17 04:15:00,24℃,92%,60,1级,西风,晴,1498
2019-08-17 20:10:00,27℃,75%,55,2级,东北风,晴,1546
2019-08-17 21:10:00,26℃,80%,48,2级,东北风,晴,1508
2019-08-17 22:10:00,26℃,77%,40,2级,东北风,晴,1494
2019-08-17 23:15:00,26℃,75%,36,2级,东北风,阴,1498
2019-08-16 20:05:00,29℃,66%,65,2级,南风,晴,1519
2019-08-16 20:45:00,29℃,65%,62,2级,南风,晴,1518
2019-08-16 22:00:00,29℃,69%,70,2级,南风,晴,1485
2019-08-16 23:15:00,28℃,74%,63,1级,南风,晴,1478
2019-08-12 01:10:00,23℃,94%,19,2级,西风,晴,1480
2019-08-12 02:10:00,23℃,89%,18,3级,西风,晴,1485
2019-08-12 03:10:00,23℃,91%,17,2级,西风,晴,1480
2019-08-12 04:10:00,23℃,89%,17,3级,西风,晴,1478
2019-08-11 01:15:00,24℃,99%,6,4级,西北风,雨,1476
2019-08-11 02:10:00,24℃,99%,8,3级,西北风,雨,1485
2019-08-11 03:15:00,24℃,99%,8,4级,西风,雨,1482
2019-08-11 04:15:00,24℃,99%,5,4级,西北风,雨,1489
2019-08-11 20:10:00,25℃,84%,40,2级,西风,多云,1515
2019-08-11 21:10:00,24℃,89%,42,2级,西风,多云,1503
2019-08-11 22:10:00,24℃,88%,27,2级,西风,多云,1483
2019-08-11 23:10:00,24℃,92%,19,3级,西风,晴,1480
2019-08-10 01:10:00,28℃,87%,24,3级,东北风,多云,1476
2019-08-10 02:15:00,27℃,87%,23,3级,东北风,阴,1482
2019-08-10 03:15:00,26℃,91%,24,2级,东北风,阴,1484
2019-08-10 04:15:00,26℃,91%,20,2级,北风,阴,1474
2019-08-10 20:15:00,25℃,98%,7,3级,北风,雨,1521
2019-08-10 21:15:00,25℃,99%,8,3级,西北风,阴,1513
2019-08-10 22:15:00,25℃,99%,7,3级,西北风,阴,1475
2019-08-10 23:15:00,24℃,99%,7,3级,西北风,雨,1473
2019-08-09 20:15:00,30℃,76%,51,3级,东北风,阴,1522
2019-08-09 21:15:00,29℃,78%,42,3级,东北风,阴,1497
2019-08-09 22:15:00,28℃,83%,45,3级,东北风,阴,1477
2019-08-09 23:15:00,28℃,84%,38,3级,东北风,阴,1485
2019-08-08 01:15:00,25℃,99%,51,2级,西北风,多云,1477
2019-08-07 01:20:00,27℃,95%,54,1级,东北风,多云,1482
2019-08-07 02:20:00,27℃,94%,52,1级,东风,多云,1474
2019-08-07 03:20:00,27℃,92%,48,2级,东风,多云,1468
2019-08-07 04:20:00,27℃,90%,46,2级,东北风,多云,1471
2019-08-07 20:10:00,25℃,99%,47,2级,西北风,雨,1523
2019-08-07 21:15:00,26℃,98%,35,1级,西北风,雨,1523
2019-08-07 22:15:00,25℃,98%,39,1级,西北风,阴,1468
2019-08-07 23:15:00,25℃,99%,35,1级,西风,多云,1468
2019-08-06 01:20:00,26℃,97%,39,1级,东风,多云,1493
2019-08-06 02:20:00,26℃,98%,53,1级,北风,多云,1495
