uptime_1600012,temperature,humidity,aqi,winp,wind,weather,rtu3
2020/6/9 1:53,25℃,85%,54,2级,东风,多云,14
2020/6/9 3:54,24℃,89%,52,2级,东风,多云,14
2020/6/9 20:07,28℃,73%,47,2级,东风,阴,16
2020/6/9 21:52,27℃,77%,46,2级,东风,阴,16
2020/6/8 2:08,22℃,78%,54,2级,东风,晴,15
2020/6/8 3:55,21℃,85%,54,2级,东北风,晴,15
2020/6/8 22:00,26℃,79%,50,2级,东风,晴,16
2020/6/7 2:07,20℃,99%,57,1级,东北风,阴,15
2020/6/7 3:59,21℃,94%,47,2级,东风,阴,15
2020/6/7 22:06,25℃,67%,66,3级,东风,晴,16
2020/6/7 23:57,24℃,70%,55,2级,东风,多云,16
2020/6/6 2:08,17℃,99%,28,1级,西北风,多云,14
2020/6/6 4:15,18℃,99%,31,2级,北风,多云,14
2020/6/6 22:03,22℃,98%,59,1级,东北风,阴,16
2020/6/6 23:59,20℃,99%,58,1级,北风,阴,15
2020/6/5 2:08,25℃,91%,27,2级,东南风,阴,15
2020/6/5 4:11,25℃,96%,31,2级,东南风,阴,15
2020/6/5 22:07,19℃,98%,36,1级,东北风,阴,15
2020/6/4 2:01,24℃,94%,39,2级,南风,多云,14
2020/6/4 4:11,22℃,99%,38,1级,北风,多云,14
2020/6/4 22:01,27℃,82%,47,1级,东南风,阴,16
2020/6/4 23:59,26℃,87%,37,2级,东南风,阴,15
2020/6/3 2:03,24℃,88%,27,2级,西南风,阴,16
2020/6/3 4:04,24℃,82%,27,2级,西南风,阴,16
2020/6/3 20:02,28℃,66%,126,2级,南风,阴,18
2020/6/3 22:03,26℃,85%,59,2级,南风,阴,17
2020/6/2 1:58,24℃,81%,53,2级,西南风,多云,14
2020/6/2 4:05,22℃,95%,45,1级,东南风,多云,14
2020/6/2 22:11,27℃,83%,61,1级,西南风,阴,16
2020/6/1 2:10,21℃,99%,52,2级,北风,阴,13
2020/6/1 3:58,20℃,99%,58,1级,北风,阴,13
2020/6/1 20:01,27℃,65%,52,2级,东南风,多云,17
2020/6/1 22:07,24℃,87%,67,0级,无持续风向,多云,15
2020/6/1 23:48,25℃,79%,66,2级,西南风,晴,14
2020/5/31 2:04,20℃,99%,59,1级,东风,晴,13
2020/5/31 4:01,18℃,99%,63,1级,南风,晴,13
2020/5/31 20:09,25℃,79%,67,2级,东南风,阴,15
2020/5/31 21:52,23℃,92%,57,1级,北风,阴,15
2020/5/30 2:09,18℃,89%,35,2级,东南风,阴,14
2020/5/30 4:10,18℃,95%,33,1级,东风,阴,13
2020/5/30 20:00,23℃,83%,56,2级,北风,晴,16
