,uptime_1600016,temperature,humidity,aqi,winp,wind,weather,rtu2
112,2020-03-31 20:03:00,9,99,21,2,7,0,5.0
113,2020-03-31 21:05:00,10,99,23,2,7,1,5.0
114,2020-03-31 22:14:00,10,99,23,1,7,0,5.0
115,2020-03-31 23:08:00,10,99,25,2,1,1,5.0
140,2020-03-27 02:04:00,9,95,16,3,3,0,5.0
152,2020-03-26 20:06:00,16,99,32,2,3,0,5.0
153,2020-03-26 20:57:00,15,99,48,3,3,0,5.0
154,2020-03-26 21:57:00,14,99,54,3,3,0,5.0
155,2020-03-26 23:12:00,12,99,53,4,3,0,5.0
1519,2019-08-11 01:15:00,24,99,6,4,7,0,5.0
1520,2019-08-11 02:10:00,24,99,8,3,7,0,5.0
1521,2019-08-11 03:15:00,24,99,8,4,1,0,5.0
1532,2019-08-10 21:15:00,25,99,8,3,7,1,5.0
1533,2019-08-10 22:15:00,25,99,7,3,7,1,5.0
1534,2019-08-10 23:15:00,24,99,7,3,7,0,5.0
1918,2019-06-21 01:15:00,20,99,25,2,5,0,5.0
1919,2019-06-21 02:15:00,20,99,25,2,3,0,5.0
1920,2019-06-21 03:15:00,20,99,23,2,5,0,5.0
1921,2019-06-21 04:15:00,20,99,22,2,5,0,5.0
1930,2019-06-20 20:15:00,20,99,26,2,0,1,5.0
1931,2019-06-20 21:15:00,20,99,25,3,0,1,5.0
1932,2019-06-20 22:15:00,20,99,26,2,5,1,5.0
2037,2019-06-06 01:10:00,24,97,50,4,4,1,5.0
2038,2019-06-06 02:10:00,25,93,26,5,2,1,5.0
