,uptime_1600022,temperature,humidity,aqi,winp,wind,weather,rtu2
0,2019-12-01 01:57:00,5,99,45,3,7,0,1.0
1,2019-12-01 02:53:00,5,98,52,2,7,0,1.0
2,2019-11-30 01:10:00,7,80,44,2,5,3,1.0
3,2019-11-30 01:54:00,7,81,46,2,5,3,1.0
4,2019-11-30 02:59:00,7,85,47,2,5,3,1.0
5,2019-11-30 04:01:00,6,86,51,2,3,3,1.0
6,2019-11-30 04:56:00,6,87,51,2,3,3,1.0
7,2019-11-30 20:05:00,6,99,60,2,7,1,1.0
8,2019-11-30 20:50:00,5,99,58,2,7,0,1.0
9,2019-11-30 21:35:00,5,99,59,2,7,1,1.0
10,2019-11-30 22:59:00,5,99,59,3,7,0,1.0
11,2019-11-29 21:04:00,8,68,47,2,0,4,1.0
13,2019-11-29 22:59:00,8,74,42,2,5,3,1.0
14,2019-11-28 02:02:00,4,90,98,1,3,1,1.0
15,2019-11-28 03:08:00,4,83,78,2,3,1,1.0
16,2019-11-28 04:04:00,3,74,53,3,5,1,1.0
17,2019-11-27 02:03:00,5,99,29,3,5,0,1.0
18,2019-11-27 03:02:00,5,99,30,3,5,0,1.0
19,2019-11-27 04:00:00,4,99,29,2,5,0,1.0
20,2019-11-27 04:56:00,3,97,25,4,5,0,1.0
21,2019-11-27 21:04:00,3,93,78,2,7,1,0.0
22,2019-11-27 22:10:00,4,90,82,2,7,1,0.0
23,2019-11-27 23:03:00,4,91,84,2,1,1,0.0
24,2019-11-26 20:02:00,6,95,32,2,3,0,1.0
26,2019-11-26 22:07:00,5,97,29,2,5,0,1.0
27,2019-11-26 23:04:00,5,98,28,2,5,0,0.0
28,2019-09-04 01:15:00,21,97,15,1,5,3,1.0
29,2019-09-04 02:15:00,21,97,15,2,5,3,1.0
30,2019-09-04 03:15:00,20,96,15,2,3,3,1.0
31,2019-09-04 04:15:00,20,93,16,2,5,3,1.0
32,2019-09-03 01:00:00,22,92,40,1,3,1,1.0
33,2019-09-03 02:10:00,21,96,46,2,7,1,1.0
34,2019-09-03 03:00:00,21,96,45,2,3,1,1.0
35,2019-09-03 04:00:00,21,95,36,1,3,1,1.0
36,2019-09-03 20:15:00,22,90,20,2,5,3,2.0
37,2019-09-03 21:15:00,21,95,20,2,0,3,1.0
38,2019-09-03 22:15:00,21,96,19,2,5,3,1.0
39,2019-09-03 23:15:00,21,96,19,2,0,3,1.0
40,2019-09-02 01:15:00,20,98,39,2,5,3,1.0
41,2019-09-02 02:15:00,20,98,37,2,5,1,1.0
42,2019-09-02 03:15:00,20,98,35,2,5,1,1.0
43,2019-09-02 04:10:00,20,99,35,2,5,1,1.0
44,2019-09-02 20:10:00,23,77,43,1,4,1,2.0
45,2019-09-02 21:10:00,22,84,51,0,8,1,1.0
46,2019-09-02 22:10:00,22,91,51,1,1,1,1.0
47,2019-09-02 23:10:00,22,92,51,1,1,1,1.0
48,2019-09-01 01:10:00,23,93,55,2,0,1,1.0
49,2019-09-01 02:10:00,23,93,57,1,5,1,1.0
50,2019-09-01 03:10:00,23,93,54,2,5,1,1.0
51,2019-09-01 04:10:00,23,93,54,2,0,1,1.0
52,2019-09-01 20:15:00,20,89,30,2,5,3,2.0
53,2019-09-01 21:15:00,20,93,31,2,0,3,2.0
54,2019-09-01 22:15:00,20,93,33,1,0,3,1.0
55,2019-09-01 23:15:00,20,96,34,2,5,3,1.0
56,2019-08-31 01:15:00,20,88,45,1,3,3,1.0
57,2019-08-31 02:15:00,20,87,48,1,3,3,1.0
58,2019-08-31 03:15:00,20,90,48,2,3,3,1.0
59,2019-08-31 04:10:00,20,90,51,1,3,3,1.0
60,2019-08-31 20:10:00,22,86,58,2,5,1,1.0
61,2019-08-31 21:10:00,23,87,62,2,5,1,1.0
62,2019-08-31 22:10:00,23,88,60,2,5,1,1.0
63,2019-08-31 23:10:00,23,91,63,2,5,1,1.0
64,2019-08-30 01:15:00,22,94,38,2,7,3,1.0
65,2019-08-30 02:15:00,22,88,51,2,3,3,1.0
66,2019-08-30 03:15:00,21,88,52,2,7,3,1.0
