uptime_1600013,temperature,humidity,aqi,winp,wind,weather,rtu1
2019-12-01 01:57:00,5℃,99%,45,3级,西北风,雨,2250
2019-12-01 02:53:00,5℃,98%,52,2级,西北风,雨,2238
2019-12-01 03:52:00,5℃,98%,58,2级,西北风,雨,2257
2019-11-30 01:10:00,7℃,80%,44,2级,东北风,多云,4242
2019-11-30 01:54:00,7℃,81%,46,2级,东北风,多云,4212
2019-11-30 02:59:00,7℃,85%,47,2级,东北风,多云,4249
2019-11-30 04:01:00,6℃,86%,51,2级,北风,多云,4262
2019-11-30 04:56:00,6℃,87%,51,2级,北风,多云,4298
2019-11-30 20:05:00,6℃,99%,60,2级,西北风,阴,2271
2019-11-30 20:50:00,5℃,99%,58,2级,西北风,雨,2266
2019-11-30 21:35:00,5℃,99%,59,2级,西北风,阴,2251
2019-11-30 22:59:00,5℃,99%,59,3级,西北风,雨,2253
2019-11-29 21:04:00,8℃,68%,47,2级,东风,晴,4201
2019-11-29 22:06:00,8℃,69%,42,2级,东风,晴,4184
2019-11-29 22:59:00,8℃,74%,42,2级,东北风,多云,4182
2019-11-28 02:02:00,4℃,90%,98,1级,北风,阴,5486
2019-11-28 03:08:00,4℃,83%,78,2级,北风,阴,4387
2019-11-28 04:04:00,3℃,74%,53,3级,东北风,阴,4372
2019-11-27 02:03:00,5℃,99%,29,3级,东北风,雨,4046
2019-11-27 03:02:00,5℃,99%,30,3级,东北风,雨,4079
2019-11-27 04:00:00,4℃,99%,29,2级,东北风,雨,4123
2019-11-27 04:56:00,3℃,97%,25,4级,东北风,雨,4147
2019-11-27 21:04:00,3℃,93%,78,2级,西北风,阴,4602
2019-11-27 22:10:00,4℃,90%,82,2级,西北风,阴,4725
2019-11-27 23:03:00,4℃,91%,84,2级,西风,阴,4689
2019-11-26 20:02:00,6℃,95%,32,2级,北风,雨,3886
2019-11-26 21:08:00,6℃,95%,30,2级,东北风,雨,3914
2019-11-26 22:07:00,5℃,97%,29,2级,东北风,雨,3994
2019-11-26 23:04:00,5℃,98%,28,2级,东北风,雨,4017
2019-10-13 01:05:00,17℃,98%,65,2级,北风,阴,4180
2019-10-13 02:05:00,17℃,98%,79,2级,北风,阴,4192
2019-10-13 03:05:00,17℃,97%,92,2级,北风,阴,4196
2019-10-13 04:05:00,17℃,97%,100,1级,东北风,阴,4180
2019-10-12 01:15:00,18℃,90%,93,2级,北风,多云,4190
2019-10-12 02:15:00,18℃,93%,97,1级,西北风,多云,4193
2019-10-12 03:15:00,18℃,94%,100,2级,西北风,多云,4184
2019-10-12 04:15:00,17℃,96%,98,2级,西北风,多云,4202
2019-10-12 20:05:00,18℃,99%,51,1级,西北风,阴,4186
2019-10-12 21:10:00,18℃,99%,48,1级,西北风,阴,4181
2019-10-12 22:05:00,18℃,95%,50,2级,北风,阴,4169
2019-10-12 23:05:00,17℃,96%,52,2级,北风,阴,4184
2019-10-11 01:15:00,18℃,88%,48,2级,西北风,多云,4212
2019-10-11 02:10:00,18℃,89%,48,2级,西北风,多云,4206
2019-10-11 03:15:00,18℃,91%,38,2级,西北风,多云,4202
2019-10-11 04:15:00,18℃,91%,38,1级,西北风,多云,4220
2019-10-11 20:15:00,19℃,83%,63,1级,西北风,晴,4210
2019-10-11 21:15:00,18℃,87%,65,2级,西北风,晴,4190
2019-10-11 22:15:00,19℃,87%,84,2级,北风,晴,4173
2019-10-11 23:15:00,18℃,88%,92,2级,西北风,多云,4198
2019-10-10 01:10:00,19℃,86%,82,2级,东南风,多云,4248
2019-10-10 02:15:00,19℃,88%,77,1级,东南风,多云,4247
2019-10-10 03:15:00,19℃,88%,79,2级,东南风,多云,4265
2019-10-10 04:15:00,19℃,91%,79,1级,西南风,多云,4265
2019-10-10 20:15:00,19℃,86%,73,1级,西风,晴,4220
2019-10-10 21:15:00,19℃,87%,67,2级,西风,晴,4214
2019-10-10 22:15:00,19℃,84%,65,2级,西北风,晴,4220
2019-10-10 23:15:00,18℃,87%,58,2级,西北风,多云,4228
2019-10-09 01:15:00,14℃,99%,49,1级,南风,多云,4276
2019-10-09 02:15:00,14℃,99%,52,0级,无持续风向,多云,4274
2019-10-09 03:15:00,14℃,99%,52,0级,无持续风向,多云,4269
