,uptime,temperature,humidity,aqi,winp,wind,weather,rtu1
89,2020-05-18 04:59:00,19,75,139,3,7,3,0.0
90,2020-05-18 21:03:00,15,82,59,1,1,4,0.0
91,2020-05-18 22:53:00,14,91,59,1,6,4,0.0
92,2020-05-17 03:05:00,20,99,40,0,8,4,0.0
93,2020-05-17 21:10:00,24,84,56,2,2,1,0.0
94,2020-05-17 22:57:00,23,90,56,2,2,3,0.0
95,2020-05-16 01:06:00,17,99,56,1,5,3,0.0
96,2020-05-16 03:06:00,16,99,40,0,8,3,0.0
97,2020-05-16 04:54:00,16,99,39,1,7,2,0.0
98,2020-05-16 20:53:00,23,82,58,1,2,3,0.0
99,2020-05-16 23:03:00,21,96,59,1,2,4,0.0
100,2020-05-15 01:00:00,19,99,40,1,1,1,0.0
101,2020-05-15 03:05:00,18,99,48,2,1,3,0.0
102,2020-05-15 21:08:00,19,99,56,1,4,1,0.0
103,2020-05-15 23:06:00,18,99,70,0,8,3,0.0
104,2020-05-14 01:02:00,21,93,71,1,2,1,0.0
105,2020-05-14 03:03:00,21,84,77,2,5,1,0.0
106,2020-05-14 21:05:00,19,99,29,2,1,0,0.0
107,2020-05-14 22:57:00,19,99,36,2,2,1,0.0
108,2020-05-13 03:00:00,13,99,80,1,0,3,0.0
109,2020-05-13 21:06:00,24,67,73,1,4,3,0.0
110,2020-05-13 23:15:00,21,87,64,1,2,1,0.0
111,2020-05-12 01:09:00,12,97,71,1,6,3,0.0
112,2020-05-12 03:11:00,11,92,65,2,1,4,0.0
113,2020-05-12 04:52:00,11,90,59,1,6,4,0.0
114,2020-05-12 20:59:00,18,74,95,1,0,1,0.0
115,2020-05-12 22:54:00,16,94,108,1,4,3,0.0
116,2020-05-11 03:12:00,14,99,54,0,8,4,0.0
117,2020-05-11 04:53:00,13,99,60,0,8,4,0.0
118,2020-05-11 21:04:00,15,90,60,0,8,1,0.0
119,2020-05-11 22:58:00,14,91,61,1,6,3,0.0
120,2020-05-10 01:00:00,15,93,40,2,3,1,0.0
121,2020-05-10 03:00:00,14,94,42,2,7,3,0.0
122,2020-05-10 21:03:00,17,95,56,0,8,4,0.0
123,2020-05-10 23:07:00,15,99,70,1,4,4,0.0
124,2020-05-09 01:09:00,17,92,28,2,7,3,0.0
125,2020-05-09 03:04:00,16,90,28,3,7,3,0.0
126,2020-05-09 21:10:00,15,90,39,2,3,1,0.0
127,2020-05-09 23:00:00,15,91,44,1,3,1,0.0
128,2020-05-08 01:03:00,22,88,57,2,4,1,0.0
129,2020-05-08 03:03:00,22,92,59,2,4,3,0.0
130,2020-05-08 21:18:00,18,94,28,2,7,1,0.0
131,2020-05-08 23:12:00,17,91,26,3,7,3,0.0
