uptime_1600025,temperature,humidity,aqi,winp,wind,weather,rtu3
2019-12-01 01:57:00,5℃,99%,45,3级,西北风,雨,2504
2019-12-01 02:53:00,5℃,98%,52,2级,西北风,雨,2565
2019-12-01 03:52:00,5℃,98%,58,2级,西北风,雨,2453
2019-11-30 01:10:00,7℃,80%,44,2级,东北风,多云,78
2019-11-30 01:54:00,7℃,81%,46,2级,东北风,多云,73
2019-11-30 02:59:00,7℃,85%,47,2级,东北风,多云,73
2019-11-30 04:01:00,6℃,86%,51,2级,北风,多云,70
2019-11-30 04:56:00,6℃,87%,51,2级,北风,多云,147
2019-11-30 20:05:00,6℃,99%,60,2级,西北风,阴,2046
2019-11-30 20:50:00,5℃,99%,58,2级,西北风,雨,2520
2019-11-30 21:35:00,5℃,99%,59,2级,西北风,阴,2480
2019-11-30 22:59:00,5℃,99%,59,3级,西北风,雨,2458
2019-11-29 21:04:00,8℃,68%,47,2级,东风,晴,115
2019-11-29 22:06:00,8℃,69%,42,2级,东风,晴,183
2019-11-29 22:59:00,8℃,74%,42,2级,东北风,多云,118
2019-11-28 02:02:00,4℃,90%,98,1级,北风,阴,2185
2019-11-28 03:08:00,4℃,83%,78,2级,北风,阴,1612
2019-11-28 04:04:00,3℃,74%,53,3级,东北风,阴,2298
2019-11-27 02:03:00,5℃,99%,29,3级,东北风,雨,2686
2019-11-27 03:02:00,5℃,99%,30,3级,东北风,雨,1950
2019-11-27 04:00:00,4℃,99%,29,2级,东北风,雨,1977
2019-11-27 04:56:00,3℃,97%,25,4级,东北风,雨,1854
2019-11-27 21:04:00,3℃,93%,78,2级,西北风,阴,1783
2019-11-27 22:10:00,4℃,90%,82,2级,西北风,阴,1541
2019-11-27 23:03:00,4℃,91%,84,2级,西风,阴,2385
2019-11-26 20:02:00,6℃,95%,32,2级,北风,雨,175
2019-11-26 21:08:00,6℃,95%,30,2级,东北风,雨,44
2019-11-26 22:07:00,5℃,97%,29,2级,东北风,雨,3950
2019-11-26 23:04:00,5℃,98%,28,2级,东北风,雨,2768
2019-09-13 01:15:00,24℃,93%,60,2级,东北风,多云,336
2019-09-13 02:15:00,24℃,92%,61,2级,东风,多云,331
2019-09-13 03:15:00,24℃,91%,57,2级,东风,多云,339
2019-09-13 04:15:00,23℃,92%,57,2级,东北风,多云,343
2019-09-12 01:15:00,24℃,91%,54,2级,东风,多云,593
2019-09-12 02:15:00,24℃,94%,54,2级,东风,多云,558
2019-09-12 03:15:00,23℃,96%,54,2级,东北风,多云,485
2019-09-12 04:00:00,24℃,94%,51,2级,东风,晴,707
2019-09-12 21:00:00,28℃,78%,69,3级,东风,晴,712
2019-09-12 21:35:00,27℃,81%,63,3级,东风,晴,459
2019-09-12 22:15:00,26℃,84%,63,2级,东风,晴,280
2019-09-12 23:15:00,25℃,88%,57,2级,东风,多云,322
2019-09-11 01:15:00,23℃,97%,43,2级,东北风,多云,641
2019-09-11 02:15:00,23℃,98%,41,2级,东北风,多云,892
2019-09-11 03:15:00,23℃,99%,43,1级,东风,多云,1445
2019-09-11 04:15:00,23℃,99%,38,2级,东风,多云,1364
2019-09-11 20:15:00,27℃,84%,58,3级,东北风,晴,3001
2019-09-11 21:10:00,26℃,86%,57,2级,东风,晴,1221
2019-09-11 22:15:00,25℃,88%,55,2级,东北风,晴,1167
2019-09-11 23:15:00,25℃,88%,53,2级,东风,多云,817
2019-09-10 01:15:00,21℃,99%,63,1级,北风,晴,1299
2019-09-10 02:15:00,21℃,99%,59,2级,北风,晴,1278
2019-09-10 03:15:00,21℃,99%,59,1级,北风,晴,1311
2019-09-10 04:10:00,21℃,99%,60,2级,东北风,晴,1313
2019-09-10 20:10:00,26℃,80%,54,2级,东北风,晴,628
2019-09-10 21:15:00,25℃,88%,58,2级,东北风,晴,775
2019-09-10 22:15:00,24℃,91%,53,2级,东北风,晴,715
2019-09-10 23:05:00,24℃,91%,50,2级,东北风,多云,726
2019-09-09 01:10:00,21℃,92%,74,1级,东北风,晴,1251
2019-09-09 02:10:00,21℃,93%,74,2级,东北风,晴,1266
2019-09-09 03:15:00,20℃,95%,78,1级,北风,晴,1281
2019-09-09 04:15:00,20℃,98%,77,2级,东北风,晴,1173
2019-09-09 20:15:00,25℃,79%,55,2级,东北风,晴,1359
2019-09-09 21:15:00,24℃,84%,68,2级,东北风,晴,1373
2019-09-09 22:15:00,23℃,88%,80,1级,北风,晴,1365
2019-09-09 23:15:00,22℃,96%,73,2级,东北风,晴,1320
2019-09-08 01:15:00,20℃,99%,119,1级,东北风,晴,1321
2019-09-08 02:15:00,19℃,99%,124,0级,无持续风向,晴,1231
2019-09-08 03:15:00,19℃,99%,122,1级,北风,晴,1236
2019-09-08 04:15:00,19℃,99%,121,1级,西北风,晴,1117
2019-09-08 20:10:00,24℃,77%,69,1级,北风,晴,1319
2019-09-08 21:10:00,23℃,83%,80,2级,东北风,晴,1391
2019-09-08 22:10:00,23℃,80%,83,2级,东北风,晴,1296
2019-09-08 23:10:00,21℃,91%,76,1级,东南风,晴,1282
2019-09-07 01:15:00,20℃,97%,59,2级,西风,多云,1388
2019-09-07 02:15:00,20℃,98%,60,1级,西风,多云,1336
2019-09-07 03:15:00,19℃,99%,64,2级,西风,多云,1303
2019-09-07 04:15:00,19℃,99%,62,2级,西风,多云,1276
2019-09-07 20:15:00,22℃,92%,78,0级,无持续风向,晴,1338
2019-09-07 21:15:00,21℃,94%,83,1级,东北风,晴,1310
2019-09-07 22:15:00,20℃,98%,89,2级,南风,晴,1347
2019-09-07 23:10:00,20℃,97%,105,0级,无持续风向,晴,1354
2019-09-06 01:15:00,21℃,99%,35,1级,北风,多云,1368
2019-09-06 02:15:00,20℃,99%,37,1级,北风,多云,1395
2019-09-06 03:15:00,21℃,99%,43,2级,北风,多云,1366
2019-09-06 04:15:00,22℃,99%,43,1级,北风,多云,1369
2019-09-06 20:15:00,23℃,78%,41,2级,西北风,多云,1458
2019-09-06 21:15:00,23℃,82%,53,1级,西北风,多云,1473
2019-09-06 22:15:00,22℃,85%,56,2级,西北风,多云,1409
2019-09-06 23:15:00,21℃,90%,54,1级,西北风,多云,1361
2019-09-05 01:15:00,20℃,99%,40,0级,无持续风向,多云,1245
2019-09-05 02:15:00,20℃,99%,35,2级,北风,多云,1394
2019-09-05 03:15:00,20℃,99%,37,1级,东北风,多云,1302
2019-09-05 04:15:00,20℃,97%,39,1级,北风,多云,1276
2019-09-05 20:15:00,22℃,93%,41,1级,东北风,晴,1467
2019-09-05 21:15:00,22℃,96%,49,1级,东北风,晴,1458
2019-09-05 22:15:00,21℃,98%,51,1级,东北风,晴,1388
2019-09-05 23:15:00,21℃,98%,44,1级,东北风,多云,1421
2019-09-04 01:15:00,21℃,97%,15,1级,东北风,多云,1376
2019-09-04 02:15:00,21℃,97%,15,2级,东北风,多云,865
2019-09-04 03:15:00,20℃,96%,15,2级,北风,多云,449
