uptime_1600023,temperature,humidity,aqi,winp,wind,weather,rtu2
2020-04-15 02:03:00,11℃,80%,52,1级,西南风,晴,44
2020-04-15 03:07:00,11℃,81%,43,1级,西南风,晴,44
2020-04-15 04:06:00,10℃,84%,46,0级,无持续风向,晴,45
2020-04-14 01:04:00,9℃,97%,74,1级,东风,多云,45
2020-04-14 02:07:00,8℃,99%,70,1级,东南风,多云,43
2020-04-14 03:14:00,8℃,98%,69,1级,东南风,多云,43
2020-04-14 04:05:00,8℃,97%,75,1级,东南风,多云,43
2020-04-14 20:04:00,15℃,73%,66,1级,东风,多云,51
2020-04-14 21:10:00,14℃,72%,69,2级,东南风,多云,46
2020-04-14 22:06:00,14℃,72%,69,2级,东南风,多云,46
2020-04-14 22:55:00,14℃,72%,66,2级,东南风,晴,47
2020-04-13 02:15:00,6℃,86%,64,1级,东北风,晴,40
2020-04-13 03:07:00,4℃,94%,65,2级,西南风,晴,39
2020-04-13 04:10:00,5℃,91%,66,2级,西风,晴,38
2020-04-13 04:58:00,4℃,93%,69,1级,西北风,晴,37
2020-04-13 20:06:00,13℃,59%,73,0级,无持续风向,阴,52
2020-04-13 21:13:00,11℃,75%,86,1级,南风,阴,52
2020-04-13 22:04:00,10℃,87%,83,1级,东南风,阴,51
2020-04-13 23:03:00,10℃,89%,82,1级,东南风,多云,48
2020-04-12 02:07:00,6℃,96%,67,2级,西风,晴,36
2020-04-12 03:04:00,6℃,97%,69,3级,西风,晴,37
2020-04-12 03:54:00,6℃,95%,68,3级,西风,晴,36
2020-04-12 20:14:00,15℃,41%,62,2级,西风,晴,53
2020-04-12 21:09:00,14℃,49%,63,2级,西北风,晴,53
2020-04-12 22:10:00,12℃,54%,66,2级,西北风,晴,43
2020-04-12 23:06:00,12℃,53%,61,3级,西北风,晴,43
2020-04-11 01:00:00,10℃,95%,52,2级,北风,雨,41
2020-04-11 02:08:00,9℃,98%,42,2级,北风,阴,42
2020-04-11 03:06:00,9℃,99%,29,3级,北风,雨,44
2020-04-11 04:10:00,8℃,99%,30,3级,北风,阴,40
2020-04-11 20:54:00,6℃,93%,49,2级,西风,阴,42
2020-04-11 21:57:00,6℃,94%,54,2级,西风,阴,39
2020-04-11 22:55:00,6℃,97%,57,2级,西风,晴,39
2020-04-10 01:06:00,14℃,82%,84,3级,东北风,晴,40
2020-04-10 02:08:00,13℃,85%,82,3级,东北风,晴,39
2020-04-10 03:01:00,12℃,86%,63,3级,东风,晴,38
2020-04-10 03:56:00,11℃,89%,57,3级,东北风,晴,38
2020-04-10 04:53:00,10℃,91%,54,3级,东风,晴,38
2020-04-10 20:01:00,15℃,74%,64,3级,东北风,阴,42
2020-04-10 21:03:00,15℃,73%,61,3级,北风,阴,41
2020-04-10 22:05:00,13℃,80%,55,3级,东北风,阴,39
2020-04-10 23:09:00,11℃,85%,54,4级,东北风,阴,47
2020-04-09 02:05:00,9℃,99%,68,1级,西北风,晴,40
2020-04-09 03:08:00,8℃,99%,71,0级,无持续风向,晴,38
2020-04-09 03:58:00,8℃,99%,70,0级,无持续风向,晴,39
2020-04-09 20:03:00,17℃,58%,63,1级,东北风,晴,45
2020-04-09 21:09:00,15℃,67%,78,2级,东风,晴,43
2020-04-09 22:09:00,16℃,74%,84,2级,东北风,晴,42
2020-04-09 23:05:00,16℃,73%,82,3级,东北风,晴,44
2020-04-08 01:03:00,7℃,96%,80,1级,西风,晴,40
2020-04-08 02:10:00,6℃,98%,93,1级,东北风,晴,41
2020-04-08 03:08:00,6℃,99%,84,1级,北风,晴,40
2020-04-08 03:55:00,5℃,99%,81,0级,无持续风向,晴,39
2020-04-08 20:02:00,15℃,66%,61,1级,南风,多云,52
2020-04-08 21:05:00,11℃,86%,80,1级,东南风,多云,46
2020-04-08 22:03:00,10℃,90%,80,0级,无持续风向,多云,44
2020-04-08 22:59:00,10℃,85%,77,0级,无持续风向,多云,44
2020-04-07 01:03:00,10℃,76%,54,1级,东北风,晴,44
2020-04-07 02:09:00,8℃,89%,52,0级,无持续风向,多云,44
2020-04-07 03:02:00,7℃,95%,53,1级,东北风,多云,43
2020-04-07 04:03:00,6℃,99%,56,1级,北风,多云,41
2020-04-07 21:04:00,11℃,65%,71,0级,无持续风向,多云,45
2020-04-07 22:01:00,9℃,88%,73,1级,东北风,多云,44
2020-04-07 23:01:00,7℃,98%,79,0级,无持续风向,晴,42
2020-04-06 01:08:00,11℃,74%,58,1级,东风,多云,44
2020-04-06 01:54:00,10℃,76%,56,1级,东风,多云,55
2020-04-06 02:58:00,10℃,85%,56,2级,东北风,多云,42
2020-04-06 03:59:00,10℃,82%,57,2级,东北风,多云,41
2020-04-06 20:12:00,16℃,42%,56,2级,东风,晴,50
2020-04-06 20:59:00,15℃,46%,60,1级,南风,晴,48
2020-04-06 22:01:00,15℃,55%,58,1级,东南风,晴,47
2020-04-06 23:15:00,13℃,58%,59,2级,东南风,晴,46
2020-04-05 01:09:00,10℃,80%,105,2级,东风,晴,47
2020-04-05 01:54:00,10℃,78%,95,2级,东风,晴,46
2020-04-05 03:08:00,9℃,72%,92,2级,东风,晴,45
2020-04-05 03:59:00,8℃,75%,90,2级,东风,晴,45
2020-04-05 04:54:00,8℃,76%,89,2级,东风,晴,45
2020-04-05 20:04:00,14℃,52%,54,2级,东风,晴,52
2020-04-05 21:02:00,13℃,55%,60,2级,东风,晴,52
2020-04-05 21:59:00,13℃,60%,63,2级,东风,晴,47
2020-04-05 23:05:00,12℃,64%,62,2级,东风,多云,47
2020-04-04 01:05:00,9℃,96%,70,1级,西北风,晴,50
2020-04-04 02:08:00,9℃,97%,65,1级,北风,晴,44
2020-04-04 03:09:00,9℃,99%,63,2级,西北风,晴,43
2020-04-04 03:58:00,9℃,99%,62,2级,北风,晴,42
2020-04-04 20:29:00,12℃,69%,68,1级,东北风,晴,52
2020-04-04 21:59:00,13℃,75%,90,3级,东北风,晴,49
2020-04-04 23:00:00,13℃,77%,94,3级,东风,晴,51
2020-04-03 01:05:00,10℃,84%,41,1级,东北风,晴,47
2020-04-03 02:15:00,10℃,91%,41,1级,北风,多云,47
2020-04-03 03:04:00,10℃,85%,36,2级,北风,多云,46
2020-04-03 04:02:00,10℃,86%,36,2级,北风,多云,44
2020-04-03 21:08:00,11℃,94%,60,1级,北风,晴,56
2020-04-03 21:48:00,11℃,81%,71,1级,北风,晴,51
2020-04-03 23:03:00,11℃,80%,73,1级,西北风,晴,48
2020-04-02 01:02:00,11℃,94%,46,3级,东北风,多云,44
2020-04-02 01:56:00,11℃,94%,51,2级,东北风,多云,43
2020-04-02 03:15:00,10℃,89%,60,2级,东北风,多云,40
2020-04-02 04:04:00,9℃,87%,87,2级,东风,多云,39
2020-04-02 21:04:00,14℃,64%,66,2级,东北风,多云,54
2020-04-02 21:54:00,13℃,70%,64,3级,东北风,多云,54
2020-04-02 23:09:00,12℃,75%,57,2级,东北风,晴,51
2020-04-01 01:01:00,9℃,99%,36,2级,北风,阴,41
2020-04-01 02:12:00,9℃,99%,43,2级,西北风,阴,39
2020-04-01 02:59:00,9℃,99%,49,1级,西北风,阴,37
2020-04-01 03:57:00,10℃,99%,49,2级,北风,阴,37
2020-04-01 20:08:00,11℃,90%,50,2级,北风,阴,68
2020-04-01 21:10:00,11℃,93%,59,2级,东北风,阴,44
