,uptime_1600020,temperature,humidity,aqi,winp,wind,weather,rtu1
0,2019-12-01 01:57:00,5,99,45,3,7,0,4.0
1,2019-12-01 02:53:00,5,98,52,2,7,0,4.0
2,2019-12-01 03:52:00,5,98,58,2,7,0,4.0
8,2019-11-30 20:50:00,5,99,58,2,7,0,4.0
9,2019-11-30 21:35:00,5,99,59,2,7,1,4.0
10,2019-11-30 22:59:00,5,99,59,3,7,0,4.0
14,2019-11-28 02:02:00,4,90,98,1,3,1,5.0
15,2019-11-28 03:08:00,4,83,78,2,3,1,5.0
17,2019-11-27 02:03:00,5,99,29,3,5,0,5.0
19,2019-11-27 04:00:00,4,99,29,2,5,0,5.0
20,2019-11-27 04:56:00,3,97,25,4,5,0,5.0
21,2019-11-27 21:04:00,3,93,78,2,7,1,5.0
22,2019-11-27 22:10:00,4,90,82,2,7,1,5.0
23,2019-11-27 23:03:00,4,91,84,2,1,1,5.0
25,2019-11-26 21:08:00,6,95,30,2,5,0,4.0
26,2019-11-26 22:07:00,5,97,29,2,5,0,4.0
27,2019-11-26 23:04:00,5,98,28,2,5,0,4.0
28,2019-10-13 01:05:00,17,98,65,2,3,1,3.0
29,2019-10-13 02:05:00,17,98,79,2,3,1,3.0
30,2019-10-13 03:05:00,17,97,92,2,3,1,3.0
31,2019-10-13 04:05:00,17,97,100,1,5,1,3.0
35,2019-10-12 04:15:00,17,96,98,2,7,3,3.0
40,2019-10-11 01:15:00,18,88,48,2,7,3,3.0
48,2019-10-10 01:10:00,19,86,82,2,4,3,3.0
49,2019-10-10 02:15:00,19,88,77,1,4,3,3.0
50,2019-10-10 03:15:00,19,88,79,2,4,3,3.0
52,2019-10-10 20:15:00,19,86,73,1,1,4,3.0
53,2019-10-10 21:15:00,19,87,67,2,1,4,3.0
54,2019-10-10 22:15:00,19,84,65,2,7,4,3.0
55,2019-10-10 23:15:00,18,87,58,2,7,3,3.0
56,2019-10-09 01:15:00,14,99,49,1,2,3,3.0
57,2019-10-09 02:15:00,14,99,52,0,8,3,3.0
58,2019-10-09 03:15:00,14,99,52,0,8,3,3.0
59,2019-10-09 04:15:00,13,99,54,1,4,2,3.0
60,2019-10-09 20:15:00,19,84,64,2,0,4,3.0
61,2019-10-09 21:15:00,19,80,71,2,0,4,3.0
62,2019-10-09 22:15:00,20,82,75,2,4,4,3.0
63,2019-10-09 23:15:00,19,84,75,2,4,3,3.0
64,2019-10-08 20:15:00,15,94,56,2,6,1,3.0
68,2019-09-25 01:05:00,18,85,97,0,8,3,2.0
