,uptime_1600013,temperature,humidity,aqi,winp,wind,weather,rtu4
8,2019-11-30 20:05:00,6,99,60,2,7,1,1.0
9,2019-11-30 20:50:00,5,99,58,2,7,0,1.0
10,2019-11-30 21:35:00,5,99,59,2,7,1,1.0
15,2019-11-28 02:02:00,4,90,98,1,3,1,0.0
27,2019-11-26 22:07:00,5,97,29,2,5,0,0.0
28,2019-11-26 23:04:00,5,98,28,2,5,0,0.0
115,2019-09-18 01:15:00,21,96,70,2,7,3,1.0
116,2019-09-18 02:15:00,21,96,69,2,7,3,1.0
117,2019-09-18 03:15:00,21,96,67,2,3,3,1.0
118,2019-09-18 04:15:00,21,94,68,2,3,3,1.0
123,2019-09-17 01:15:00,20,76,48,2,5,3,1.0
124,2019-09-17 02:15:00,20,78,43,2,5,3,1.0
125,2019-09-17 03:15:00,20,80,46,0,8,3,1.0
126,2019-09-17 04:15:00,20,80,48,1,5,3,1.0
127,2019-09-17 20:15:00,22,86,79,2,3,1,1.0
130,2019-09-17 23:15:00,21,92,64,1,7,3,1.0
131,2019-09-16 01:15:00,22,75,43,1,3,3,1.0
132,2019-09-16 02:15:00,21,82,38,2,7,3,1.0
133,2019-09-16 03:15:00,21,85,43,2,7,3,1.0
135,2019-09-16 20:15:00,21,75,45,2,3,3,1.0
136,2019-09-16 21:15:00,20,79,52,2,5,3,1.0
137,2019-09-16 22:15:00,20,79,56,2,3,3,1.0
138,2019-09-16 23:15:00,20,77,56,2,3,3,1.0
139,2019-09-15 01:00:00,23,89,37,1,5,4,1.0
140,2019-09-15 02:05:00,22,90,32,2,3,1,1.0
141,2019-09-15 03:05:00,22,90,27,2,3,1,1.0
142,2019-09-15 04:05:00,22,92,28,2,5,1,1.0
143,2019-09-15 20:15:00,24,66,52,2,3,4,1.0
144,2019-09-15 21:15:00,23,68,54,2,3,4,1.0
146,2019-09-15 23:15:00,23,70,39,2,3,3,1.0
148,2019-09-14 21:05:00,23,92,46,2,5,1,1.0
149,2019-09-14 22:05:00,23,90,40,2,0,1,1.0
150,2019-09-14 23:15:00,22,92,38,2,5,1,1.0
151,2019-09-13 01:15:00,24,93,60,2,5,3,1.0
154,2019-09-13 04:15:00,23,92,57,2,5,3,1.0
159,2019-09-12 21:00:00,28,78,69,3,0,4,1.0
161,2019-09-12 22:15:00,26,84,63,2,0,4,1.0
162,2019-09-12 23:15:00,25,88,57,2,0,3,1.0
175,2019-09-10 20:10:00,26,80,54,2,5,4,1.0
195,2019-09-07 01:15:00,20,97,59,2,1,3,1.0
196,2019-09-07 02:15:00,20,98,60,1,1,3,1.0
198,2019-09-07 04:15:00,19,99,62,2,1,3,1.0
203,2019-09-06 01:15:00,21,99,35,1,3,3,1.0
204,2019-09-06 02:15:00,20,99,37,1,3,3,1.0
205,2019-09-06 03:15:00,21,99,43,2,3,3,1.0
206,2019-09-06 04:15:00,22,99,43,1,3,3,1.0
207,2019-09-06 20:15:00,23,78,41,2,7,3,1.0
208,2019-09-06 21:15:00,23,82,53,1,7,3,1.0
209,2019-09-06 22:15:00,22,85,56,2,7,3,1.0
215,2019-09-05 20:15:00,22,93,41,1,5,4,1.0
217,2019-09-05 22:15:00,21,98,51,1,5,4,1.0
218,2019-09-05 23:15:00,21,98,44,1,5,3,1.0
223,2019-09-04 20:15:00,22,91,36,1,5,4,1.0
224,2019-09-04 21:15:00,21,92,48,1,3,4,1.0
225,2019-09-04 22:15:00,21,93,54,1,5,4,1.0
