,uptime,temperature,humidity,aqi,winp,wind,weather,rtu4
0,2019-12-01 01:57:00,5,99,45,3,7,0,1.0
1,2019-12-01 02:53:00,5,98,52,2,7,0,1.0
2,2019-12-01 03:52:00,5,98,58,2,7,0,1.0
3,2019-11-30 01:10:00,7,80,44,2,5,3,0.0
4,2019-11-30 01:54:00,7,81,46,2,5,3,0.0
5,2019-11-30 02:59:00,7,85,47,2,5,3,0.0
6,2019-11-30 04:01:00,6,86,51,2,3,3,0.0
7,2019-11-30 04:56:00,6,87,51,2,3,3,0.0
8,2019-11-30 20:50:00,5,99,58,2,7,0,1.0
9,2019-11-30 21:35:00,5,99,59,2,7,1,1.0
10,2019-11-30 22:59:00,5,99,59,3,7,0,1.0
11,2019-11-29 21:04:00,8,68,47,2,0,4,0.0
12,2019-11-29 22:06:00,8,69,42,2,0,4,0.0
13,2019-11-29 22:59:00,8,74,42,2,5,3,0.0
14,2019-11-28 02:02:00,4,90,98,1,3,1,1.0
15,2019-11-28 03:08:00,4,83,78,2,3,1,1.0
16,2019-11-28 04:04:00,3,74,53,3,5,1,1.0
17,2019-11-27 02:03:00,5,99,29,3,5,0,1.0
18,2019-11-27 03:02:00,5,99,30,3,5,0,1.0
19,2019-11-27 04:00:00,4,99,29,2,5,0,1.0
20,2019-11-27 04:56:00,3,97,25,4,5,0,1.0
21,2019-11-27 21:04:00,3,93,78,2,7,1,1.0
22,2019-11-27 22:10:00,4,90,82,2,7,1,1.0
23,2019-11-27 23:03:00,4,91,84,2,1,1,1.0
25,2019-11-26 21:08:00,6,95,30,2,5,0,1.0
26,2019-11-26 22:07:00,5,97,29,2,5,0,1.0
27,2019-11-26 23:04:00,5,98,28,2,5,0,1.0
32,2019-10-12 01:15:00,18,90,93,2,3,3,0.0
33,2019-10-12 02:15:00,18,93,97,1,7,3,0.0
34,2019-10-12 03:15:00,18,94,100,2,7,3,0.0
36,2019-10-12 20:05:00,18,99,51,1,7,1,0.0
37,2019-10-12 21:10:00,18,99,48,1,7,1,0.0
38,2019-10-12 22:05:00,18,95,50,2,3,1,0.0
39,2019-10-12 23:05:00,17,96,52,2,3,1,0.0
40,2019-10-11 01:15:00,18,88,48,2,7,3,0.0
42,2019-10-11 03:15:00,18,91,38,2,7,3,1.0
43,2019-10-11 04:15:00,18,91,38,1,7,3,1.0
44,2019-10-11 20:15:00,19,83,63,1,7,4,0.0
45,2019-10-11 21:15:00,18,87,65,2,7,4,0.0
46,2019-10-11 22:15:00,19,87,84,2,3,4,0.0
47,2019-10-11 23:15:00,18,88,92,2,7,3,0.0
48,2019-10-10 01:10:00,19,86,82,2,4,3,0.0
49,2019-10-10 02:15:00,19,88,77,1,4,3,0.0
50,2019-10-10 03:15:00,19,88,79,2,4,3,0.0
51,2019-10-10 04:15:00,19,91,79,1,6,3,0.0
52,2019-10-10 20:15:00,19,86,73,1,1,4,0.0
53,2019-10-10 21:15:00,19,87,67,2,1,4,0.0
54,2019-10-10 22:15:00,19,84,65,2,7,4,0.0
55,2019-10-10 23:15:00,18,87,58,2,7,3,0.0
56,2019-10-09 01:15:00,14,99,49,1,2,3,0.0
57,2019-10-09 02:15:00,14,99,52,0,8,3,0.0
58,2019-10-09 03:15:00,14,99,52,0,8,3,0.0
59,2019-10-09 04:15:00,13,99,54,1,4,2,0.0
60,2019-10-09 20:15:00,19,84,64,2,0,4,0.0
61,2019-10-09 21:15:00,19,80,71,2,0,4,0.0
62,2019-10-09 22:15:00,20,82,75,2,4,4,0.0
63,2019-10-09 23:15:00,19,84,75,2,4,3,0.0
64,2019-10-08 20:15:00,15,94,56,2,6,1,0.0
65,2019-10-08 21:15:00,14,95,59,1,6,1,0.0
66,2019-10-08 22:15:00,14,97,57,0,8,1,0.0
67,2019-10-08 23:15:00,14,97,52,0,8,3,0.0
68,2019-09-25 01:05:00,18,85,97,0,8,3,0.0
69,2019-09-25 02:05:00,18,86,97,1,3,3,0.0
70,2019-09-25 03:05:00,18,90,101,1,7,3,0.0
71,2019-09-25 04:05:00,18,92,108,1,0,3,0.0
