uptime,temperature,humidity,weather
2020/6/9 18:00,25,85,3
2020/6/9 20:00,24,89,3
2020/6/9 22:00,28,73,1
2020/6/10 0:00,27,77,1
2020/6/10 2:00,26,83,2
2020/6/10 4:00,27,89,1
2020/6/10 6:00,25,79,2
